epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8814,1.83496,1.78178,1.77558,0.4036,0.42139,0.35574,0.13386,1.88017,6.56136,2.21442,0.0700943,0.00332285,0.00332285
2,60.9838,1.84624,1.65671,1.78945,0.59482,0.49538,0.53965,0.2312,1.86486,2.38678,2.11358,0.0400284,0.00659029,0.00659029
3,89.0254,1.79344,1.56902,1.74006,0.59312,0.56783,0.58028,0.22692,2.03159,1.98907,2.25382,0.00989655,0.00979173,0.00979173
4,116.477,1.71837,1.47701,1.68601,0.71259,0.5417,0.6395,0.2981,1.91634,1.7061,2.17714,0.009703,0.009703,0.009703
5,143.823,1.6728,1.40749,1.63922,0.76811,0.65221,0.72816,0.43809,1.39051,1.31942,1.65142,0.009604,0.009604,0.009604
6,171.505,1.61287,1.33279,1.58232,0.8116,0.7077,0.78309,0.46769,1.35641,1.22899,1.6106,0.009505,0.009505,0.009505
7,198.936,1.56802,1.28176,1.55292,0.7997,0.67636,0.77383,0.48391,1.32859,1.21057,1.56207,0.009406,0.009406,0.009406
8,226.367,1.55933,1.25739,1.55558,0.85884,0.72096,0.81217,0.44389,1.58515,1.19613,1.76293,0.009307,0.009307,0.009307
9,253.972,1.52704,1.22359,1.53743,0.82437,0.64767,0.77799,0.48325,1.29767,1.1593,1.54281,0.009208,0.009208,0.009208
10,281.504,1.50641,1.19499,1.50037,0.81209,0.66636,0.77145,0.46845,1.35351,1.20247,1.57745,0.009109,0.009109,0.009109
11,308.848,1.4788,1.16835,1.49059,0.90618,0.71819,0.8266,0.55892,1.18137,1.00953,1.45471,0.00901,0.00901,0.00901
12,336.54,1.47228,1.15177,1.48523,0.81825,0.73368,0.80628,0.43596,1.5633,1.19656,1.78125,0.008911,0.008911,0.008911
13,363.937,1.47651,1.15726,1.49149,0.88041,0.71922,0.82271,0.53996,1.17594,1.02826,1.42876,0.008812,0.008812,0.008812
14,391.704,1.4371,1.10654,1.45153,0.86579,0.75048,0.82913,0.54006,1.20227,1.0333,1.41321,0.008713,0.008713,0.008713
15,419.804,1.39081,1.07893,1.42667,0.88923,0.72752,0.83515,0.57025,1.17387,0.96731,1.41674,0.008614,0.008614,0.008614
16,447.865,1.40264,1.07503,1.42901,0.87459,0.75937,0.84653,0.57485,1.12991,0.94079,1.38182,0.008515,0.008515,0.008515
17,476.374,1.40852,1.07514,1.43338,0.88328,0.77913,0.85448,0.56436,1.1481,0.94287,1.39333,0.008416,0.008416,0.008416
18,504.634,1.38119,1.04861,1.42229,0.90152,0.74909,0.85297,0.58834,1.08426,0.93207,1.35258,0.008317,0.008317,0.008317
19,532.73,1.38488,1.04697,1.41277,0.9223,0.745,0.86017,0.60295,1.06615,0.87737,1.33282,0.008218,0.008218,0.008218
20,561.017,1.35685,1.01851,1.4054,0.88452,0.77799,0.85192,0.59581,1.08082,0.89166,1.33187,0.008119,0.008119,0.008119
21,589.45,1.33983,1.01413,1.38915,0.89524,0.7596,0.852,0.5954,1.0651,0.90223,1.31218,0.00802,0.00802,0.00802
22,618.182,1.34567,0.99734,1.38634,0.87842,0.80488,0.87463,0.61813,1.04781,0.83366,1.32622,0.007921,0.007921,0.007921
23,646.626,1.33282,1.00478,1.38223,0.9016,0.77685,0.87171,0.59907,1.08878,0.86213,1.32535,0.007822,0.007822,0.007822
24,674.929,1.33398,0.98189,1.38206,0.89275,0.74006,0.85106,0.6122,1.04277,0.88174,1.31242,0.007723,0.007723,0.007723
25,703.255,1.31316,0.97919,1.36576,0.91655,0.7482,0.86428,0.61868,1.01943,0.83203,1.29609,0.007624,0.007624,0.007624
26,731.399,1.31039,0.96173,1.36394,0.9131,0.78427,0.87662,0.63614,0.99924,0.80797,1.2993,0.007525,0.007525,0.007525
27,759.691,1.29281,0.96031,1.3527,0.9144,0.78765,0.87857,0.63464,1.01375,0.80953,1.27263,0.007426,0.007426,0.007426
28,787.987,1.27145,0.92708,1.34691,0.88789,0.80198,0.87802,0.6399,0.9775,0.77126,1.24252,0.007327,0.007327,0.007327
29,816.262,1.31083,0.96488,1.36744,0.90783,0.78343,0.87926,0.6449,0.97707,0.8192,1.26822,0.007228,0.007228,0.007228
30,844.747,1.2736,0.92698,1.34674,0.88849,0.77967,0.86896,0.63682,0.98627,0.80605,1.27231,0.007129,0.007129,0.007129
