Image,Prediction,Correctness
13_jpg.rf.21cb22f974efdced53bc7731892b6240.jpg,W7155L,Correct
194_jpg.rf.f1d2ef31cb44bb115e0f555b21ba8011.jpg,QAASB875W,Incorrect
199_jpg.rf.f39051bef6ce88844e195992ce6a4635.jpg,JUL3300,Correct
2_jpg.rf.f35303c96d8dea836e1a0833314aa3c5.jpg,QA845WHQ,Incorrect
31_jpg.rf.698f181851f8a0db1da114159dc8291c.jpg,ANSWM789,Incorrect
36_jpg.rf.4799f2705cc59f281822929bb49aebde.jpg,QAE8789,Incorrect
36_jpg.rf.4799f2705cc59f281822929bb49aebde.jpg,AR7669,Correct
46_jpg.rf.3da7ac34ec2ae8ee3fae2b3e39210a78.jpg,VLV1,Incorrect
47_jpg.rf.8ba47137cd3cbeb5ae317be46cdae224.jpg,QAAS01N,Incorrect
56_jpg.rf.fcda927a87e977e939d4a485abf63e30.jpg,SWK1866,Correct
60_jpg.rf.c4f482af65c98ea21bb6364f5c344f7f.jpg,QAA234N,Correct
83_jpg.rf.b46864c5c6961905b4955b69710401e9.jpg,QRH9952,Correct
88_jpg.rf.88e2352ab821f660b7579ed963b1f13b.jpg,QM9764A,Correct
94_jpg.rf.202edd8ce7d7aa5c7d70e591a95c8cf2.jpg,WUE5002,Correct
i.rf.00032bed80acf93b6f7e24b38bd086db.jpg,BJU4166,Correct
i.rf.04281b0c511be10c55eb1edb63650d62.jpg,VCT4501,Correct
i.rf.078953f55e6fabda215f8f78c5bd874e.jpg,WJC7550,Correct
i.rf.084aa9bcc20ae1c63330a0c6a41152ec.jpg,BNN1202,Correct
i.rf.086c05c101ddc193a033e8e5a2abde16.jpg,J299,Incorrect
i.rf.08823fce977dfad5be3e46236aa9e9d7.jpg,JMMV069,Incorrect
i.rf.096b4e43177b3b1695f14c8e60272a21.jpg,CDM1836,Correct
i.rf.0982db9ebb6daa77d2668c0dc80738b8.jpg,TAQ6115,Incorrect
i.rf.099da249d67f3f879471e2d5512696a0.jpg,AEA6225,Incorrect
i.rf.09d0c91d5e34221f498ccc1e73f5b6eb.jpg,Q0,Incorrect
i.rf.09ef421acfa525a4a687240b7bbcdd7e.jpg,JSRA21,Incorrect
i.rf.0f25ce303e50e8c237261401f7a3d41f.jpg,JWL8829,Incorrect
i.rf.127fa4b1e330812084e0058b7ba69c9d.jpg,BPM3618,Incorrect
i.rf.18e71b24291030c591823c124715df00.jpg,W17WLF,Incorrect
i.rf.1b1aaacd9af0cdffb7f2b1fab3d177b9.jpg,JPK2613,Correct
i.rf.1b1aaacd9af0cdffb7f2b1fab3d177b9.jpg,JPK2613,Correct
i.rf.1b89b96f8fd250e5db92cb89b1706835.jpg,BAK312,Incorrect
